roomNumber;dayOfWeek;block;capacity;floor;resourceId;detailCodes
R-003;sunday;G;45;;R-003_sunday_G;AUDA,DATA,DELT,TAUT,TMTC
R-003;thursday;G;45;;R-003_thursday_G;AUDA,DATA,DELT,TAUT,TMTC
R-003;tuesday;G;45;;R-003_tuesday_G;AUDA,DATA,DELT,TAUT,TMTC
R-003;wednesday;G;45;;R-003_wednesday_G;AUDA,DATA,DELT,TAUT,TMTC
R-004;friday;A;30;;R-004_friday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;monday;A;30;;R-004_monday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;saturday;A;30;;R-004_saturday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;sunday;A;30;;R-004_sunday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;thursday;A;30;;R-004_thursday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;tuesday;A;30;;R-004_tuesday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;wednesday;A;30;;R-004_wednesday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;friday;B;30;;R-004_friday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;monday;B;30;;R-004_monday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;sunday;B;30;;R-004_sunday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;thursday;B;30;;R-004_thursday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;tuesday;B;30;;R-004_tuesday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;wednesday;B;30;;R-004_wednesday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;friday;C;30;;R-004_friday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;monday;C;30;;R-004_monday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;sunday;C;30;;R-004_sunday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;tuesday;C;30;;R-004_tuesday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;wednesday;C;30;;R-004_wednesday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;monday;D;30;;R-004_monday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;saturday;D;30;;R-004_saturday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;sunday;D;30;;R-004_sunday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;thursday;D;30;;R-004_thursday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;tuesday;D;30;;R-004_tuesday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;wednesday;D;30;;R-004_wednesday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;monday;E;30;;R-004_monday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;saturday;E;30;;R-004_saturday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;sunday;E;30;;R-004_sunday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;thursday;E;30;;R-004_thursday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;tuesday;E;30;;R-004_tuesday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;wednesday;E;30;;R-004_wednesday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;friday;F;30;;R-004_friday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;monday;F;30;;R-004_monday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;saturday;F;30;;R-004_saturday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;sunday;F;30;;R-004_sunday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;thursday;F;30;;R-004_thursday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;tuesday;F;30;;R-004_tuesday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;wednesday;F;30;;R-004_wednesday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;friday;G;30;;R-004_friday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;monday;G;30;;R-004_monday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;saturday;G;30;;R-004_saturday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;sunday;G;30;;R-004_sunday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;thursday;G;30;;R-004_thursday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;tuesday;G;30;;R-004_tuesday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-004;wednesday;G;30;;R-004_wednesday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;friday;A;50;;R-005_friday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;monday;A;50;;R-005_monday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;saturday;A;50;;R-005_saturday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;sunday;A;50;;R-005_sunday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;thursday;A;50;;R-005_thursday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;tuesday;A;50;;R-005_tuesday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;wednesday;A;50;;R-005_wednesday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;friday;B;50;;R-005_friday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;monday;B;50;;R-005_monday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;sunday;B;50;;R-005_sunday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;thursday;B;50;;R-005_thursday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;tuesday;B;50;;R-005_tuesday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;wednesday;B;50;;R-005_wednesday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;friday;C;50;;R-005_friday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;monday;C;50;;R-005_monday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;sunday;C;50;;R-005_sunday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;tuesday;C;50;;R-005_tuesday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;wednesday;C;50;;R-005_wednesday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;monday;D;50;;R-005_monday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;saturday;D;50;;R-005_saturday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;sunday;D;50;;R-005_sunday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;thursday;D;50;;R-005_thursday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;tuesday;D;50;;R-005_tuesday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;wednesday;D;50;;R-005_wednesday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;monday;E;50;;R-005_monday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;saturday;E;50;;R-005_saturday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;sunday;E;50;;R-005_sunday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;thursday;E;50;;R-005_thursday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;tuesday;E;50;;R-005_tuesday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;wednesday;E;50;;R-005_wednesday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;friday;F;50;;R-005_friday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;monday;F;50;;R-005_monday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;saturday;F;50;;R-005_saturday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;sunday;F;50;;R-005_sunday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;thursday;F;50;;R-005_thursday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;tuesday;F;50;;R-005_tuesday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;wednesday;F;50;;R-005_wednesday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;friday;G;50;;R-005_friday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;monday;G;50;;R-005_monday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;saturday;G;50;;R-005_saturday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;sunday;G;50;;R-005_sunday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;thursday;G;50;;R-005_thursday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;tuesday;G;50;;R-005_tuesday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-005;wednesday;G;50;;R-005_wednesday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;friday;A;50;;R-006_friday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;monday;A;50;;R-006_monday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;saturday;A;50;;R-006_saturday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;sunday;A;50;;R-006_sunday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;thursday;A;50;;R-006_thursday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;tuesday;A;50;;R-006_tuesday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;wednesday;A;50;;R-006_wednesday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;friday;B;50;;R-006_friday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;monday;B;50;;R-006_monday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;sunday;B;50;;R-006_sunday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;thursday;B;50;;R-006_thursday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;tuesday;B;50;;R-006_tuesday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;wednesday;B;50;;R-006_wednesday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;friday;C;50;;R-006_friday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;monday;C;50;;R-006_monday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;sunday;C;50;;R-006_sunday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;tuesday;C;50;;R-006_tuesday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;wednesday;C;50;;R-006_wednesday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;monday;D;50;;R-006_monday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;saturday;D;50;;R-006_saturday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;sunday;D;50;;R-006_sunday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;thursday;D;50;;R-006_thursday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;tuesday;D;50;;R-006_tuesday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;wednesday;D;50;;R-006_wednesday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;monday;E;50;;R-006_monday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;saturday;E;50;;R-006_saturday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;sunday;E;50;;R-006_sunday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;thursday;E;50;;R-006_thursday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;tuesday;E;50;;R-006_tuesday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;wednesday;E;50;;R-006_wednesday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;friday;F;50;;R-006_friday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;monday;F;50;;R-006_monday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;saturday;F;50;;R-006_saturday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;sunday;F;50;;R-006_sunday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;thursday;F;50;;R-006_thursday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;tuesday;F;50;;R-006_tuesday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;wednesday;F;50;;R-006_wednesday_F;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;friday;G;50;;R-006_friday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;monday;G;50;;R-006_monday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;saturday;G;50;;R-006_saturday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;sunday;G;50;;R-006_sunday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;thursday;G;50;;R-006_thursday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;tuesday;G;50;;R-006_tuesday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-006;wednesday;G;50;;R-006_wednesday_G;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;friday;A;30;;R-007_friday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;monday;A;30;;R-007_monday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;saturday;A;30;;R-007_saturday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;sunday;A;30;;R-007_sunday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;thursday;A;30;;R-007_thursday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;tuesday;A;30;;R-007_tuesday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;wednesday;A;30;;R-007_wednesday_A;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;friday;B;30;;R-007_friday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;monday;B;30;;R-007_monday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;sunday;B;30;;R-007_sunday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;thursday;B;30;;R-007_thursday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;tuesday;B;30;;R-007_tuesday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;wednesday;B;30;;R-007_wednesday_B;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;friday;C;30;;R-007_friday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;monday;C;30;;R-007_monday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;sunday;C;30;;R-007_sunday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;tuesday;C;30;;R-007_tuesday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;wednesday;C;30;;R-007_wednesday_C;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;monday;D;30;;R-007_monday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;saturday;D;30;;R-007_saturday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;sunday;D;30;;R-007_sunday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;thursday;D;30;;R-007_thursday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;tuesday;D;30;;R-007_tuesday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;wednesday;D;30;;R-007_wednesday_D;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;monday;E;30;;R-007_monday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;saturday;E;30;;R-007_saturday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;sunday;E;30;;R-007_sunday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;thursday;E;30;;R-007_thursday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
R-007;tuesday;E;30;;R-007_tuesday_E;ACSR,AUDA,DATA,DELT,TMAN,TMSU
