termCode;crn;subjCode;crseNumb;title;campus;seats;semester;programsAmount;block;beginTime;endTime;startDate;endDate;monday;tuesday;wednesday;thursday;friday;saturday;sunday;requiredFloor;specialRequirement;crossList;crossListSeats
202520;20418;DAMA;00238;Álgebra II;A;20;02;5;D;1430;1600;18-08-2025;19-12-2025;Y;;;;;;;;;LCDAMA017;60
202520;20418;DAMA;00238;Álgebra II;A;20;02;5;E;1615;1745;18-08-2025;19-12-2025;;Y;;;;;;;;LCDAMA017;60
202520;20420;DAFI;00203;Mecánica;A;50;02;10;A;0810;0940;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20420;DAFI;00203;Mecánica;A;50;02;10;A;0810;0940;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20420;DAFI;00203;Mecánica;A;50;02;10;A;0810;0940;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20422;DAMA;00312;Estadística;A;20;03;9;B;0955;1125;18-08-2025;19-12-2025;;;;;Y;;;;;LCDAMA018;60
202520;20422;DAMA;00312;Estadística;A;20;03;9;C;1140;1310;18-08-2025;19-12-2025;;;Y;;;;;;;LCDAMA018;60
202520;20423;DAMA;00312;Estadística;A;20;03;9;B;0955;1125;18-08-2025;19-12-2025;;;;;Y;;;;;LCDAMA019;80
202520;20423;DAMA;00312;Estadística;A;20;03;9;D;1430;1600;18-08-2025;19-12-2025;;Y;;;;;;;;LCDAMA019;80
202520;20424;DAMA;00312;Estadística;A;20;03;9;B;0955;1125;18-08-2025;19-12-2025;;;;;Y;;;;;LCDAMA020;80
202520;20424;DAMA;00312;Estadística;A;20;03;9;E;1615;1745;18-08-2025;19-12-2025;Y;;;;;;;;;LCDAMA020;80
202520;20449;DACF;00103;Quimica Farmaceutica General I;A;30;01;1;B;0955;1125;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20449;DACF;00103;Quimica Farmaceutica General I;A;30;01;1;C;1140;1310;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20449;DACF;00103;Quimica Farmaceutica General I;A;30;01;1;C;1140;1310;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20450;DACF;00103;Quimica Farmaceutica General I;A;30;01;1;B;0955;1125;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20451;DACF;00303;Quimica Farmaceutica Org. I;A;45;03;1;D;1430;1600;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20451;DACF;00303;Quimica Farmaceutica Org. I;A;45;03;1;E;1615;1745;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20451;DACF;00303;Quimica Farmaceutica Org. I;A;45;03;1;E;1615;1745;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20455;DACG;00300;Geología y Mineralogía;A;34;03;1;B;0955;1125;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20455;DACG;00300;Geología y Mineralogía;A;34;03;1;D;1430;1600;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20474;DACG;00102;Introducción a la Geoquímica;A;20;01;1;E;1615;1745;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20474;DACG;00102;Introducción a la Geoquímica;A;20;01;1;E;1615;1745;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20483;DACG;00301;Cartografía;A;30;03;1;B;0955;1125;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20488;DACG;00403;Geología Estructural;A;80;04;1;B;0955;1125;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20488;DACG;00403;Geología Estructural;A;80;04;1;C;1140;1310;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20491;DACG;00405;Mineralogía Óptica;A;65;04;1;A;0810;0940;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20491;DACG;00405;Mineralogía Óptica;A;65;04;1;B;0955;1125;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20493;DACG;00402;Geoestadística;A;61;04;1;E;1615;1745;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20493;DACG;00402;Geoestadística;A;61;04;1;E;1615;1745;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20494;DACG;00404;Geoquímica I;A;60;04;1;A;0810;0940;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20494;DACG;00404;Geoquímica I;A;60;04;1;C;1140;1310;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20495;DACG;00401;Comprensión Lectura Científica;A;70;04;1;C;1140;1310;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20497;DACG;00602;Depósitos Minerales;A;60;06;1;C;1140;1310;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20497;DACG;00602;Depósitos Minerales;A;60;06;1;D;1430;1600;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20497;DACG;00602;Depósitos Minerales;A;60;06;1;D;1430;1600;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20500;DACG;00604;Teledetección;A;80;06;1;A;0810;0940;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20500;DACG;00604;Teledetección;A;80;06;1;A;0810;0940;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20505;DACG;00603;Paleontología;A;60;06;1;D;1430;1600;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20505;DACG;00603;Paleontología;A;60;06;1;E;1615;1745;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20548;DAQU;00405;Quimica Orgánica;A;10;04;1;B;0955;1125;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20548;DAQU;00405;Quimica Orgánica;A;10;04;1;B;0955;1125;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20548;DAQU;00405;Quimica Orgánica;A;10;04;1;E;1615;1745;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20552;DAQU;00404;Gestión de Laboratorio;A;18;04;2;C;1140;1310;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20552;DAQU;00404;Gestión de Laboratorio;A;18;04;2;C;1140;1310;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20555;DAFI;00505;Electromagnetismo;A;30;04;8;A;0810;0940;18-08-2025;19-12-2025;;;Y;;;;;;;LCDAFI005;65
202520;20555;DAFI;00505;Electromagnetismo;A;30;04;8;B;0955;1125;18-08-2025;19-12-2025;;;;Y;;;;;;LCDAFI005;65
202520;20555;DAFI;00505;Electromagnetismo;A;30;04;8;C;1140;1310;18-08-2025;19-12-2025;Y;;;;;;;;;LCDAFI005;65
202520;20559;DAFI;00606;Óptica y Física Moderna;A;26;05;9;A;0810;0940;18-08-2025;19-12-2025;Y;;;;;;;;;LCDAFI006;36
202520;20559;DAFI;00606;Óptica y Física Moderna;A;26;05;9;C;1140;1310;18-08-2025;19-12-2025;;;;Y;;;;;;LCDAFI006;36
202520;20559;DAFI;00606;Óptica y Física Moderna;A;26;05;9;D;1430;1600;18-08-2025;19-12-2025;;;;;Y;;;;;LCDAFI006;36
202520;20595;DAFI;00307;Electricidad y Óptica;A;35;03;1;A;0810;0940;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20595;DAFI;00307;Electricidad y Óptica;A;35;03;1;A;0810;0940;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20595;DAFI;00307;Electricidad y Óptica;A;35;03;1;B;0955;1125;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20598;DAFI;00305;Física II;A;20;03;5;B;0955;1125;18-08-2025;19-12-2025;;;;;Y;;;;;LCDAFI004;60
202520;20598;DAFI;00305;Física II;A;20;03;5;C;1140;1310;18-08-2025;19-12-2025;;;Y;;;;;;;LCDAFI004;60
202520;20598;DAFI;00305;Física II;A;20;03;5;C;1140;1310;18-08-2025;19-12-2025;;Y;;;;;;;;LCDAFI004;60
202520;20606;DAIS;00401;Estructura de Datos;A;31;04;2;D;1430;1600;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20606;DAIS;00401;Estructura de Datos;A;31;04;2;D;1430;1600;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20618;DAMA;00330;Estadística;A;20;03;5;A;0810;0940;18-08-2025;19-12-2025;;;;Y;;;;;;LCDAMA023;80
202520;20618;DAMA;00330;Estadística;A;20;03;5;D;1430;1600;18-08-2025;19-12-2025;Y;;;;;;;;;LCDAMA023;80
202520;20637;DAMA;00335;Ecuaciones Diferenciales;A;40;03;1;A;0810;0940;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20637;DAMA;00335;Ecuaciones Diferenciales;A;40;03;1;C;1140;1310;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20637;DAMA;00335;Ecuaciones Diferenciales;A;40;03;1;D;1430;1600;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20637;DAMA;00335;Ecuaciones Diferenciales;A;40;03;1;F;1800;1930;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20649;DAMA;00409;Métodos Numéricos;A;65;04;8;A;0810;0940;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20649;DAMA;00409;Métodos Numéricos;A;65;04;8;A;0810;0940;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20649;DAMA;00409;Métodos Numéricos;A;65;04;8;C;1140;1310;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20651;DACG;00400;Geología General Estructural;A;30;03;1;C;1140;1310;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20651;DACG;00400;Geología General Estructural;A;30;03;1;D;1430;1600;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20655;DAMA;01151;Algebra;A;40;01;1;D;1430;1600;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20655;DAMA;01151;Algebra;A;40;01;1;D;1430;1600;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20655;DAMA;01151;Algebra;A;40;01;1;E;1615;1745;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20664;DAMA;00608;Analisis Funcional;A;5;06;1;B;0955;1125;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20679;DAQU;00606;Lab. de Técnicas Opticas;A;10;06;1;C;1140;1310;18-08-2025;19-12-2025;;Y;;Y;;;;;;;
202520;20707;DAQU;00403;Lab. de Química Analítica;A;15;04;1;A;0810;0940;18-08-2025;19-12-2025;Y;;;;;;;;;LCDAQU011;25
202520;20708;DAQU;00607;Lab. Técnicas Electroanalítica;A;10;06;1;C;1140;1310;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20780;DATE;00064;Avances Científicos: Pro y Con;A;40;03;33;F;1800;1930;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20782;DATE;00046;Ecología Integral;A;40;03;34;B;0955;1125;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20783;DAEC;00302;Estadistica Ii;A;45;03;3;E;1615;1745;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20783;DAEC;00302;Estadistica Ii;A;45;03;3;E;1615;1745;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20804;DACF;00401;Bioquímica;A;26;04;1;B;0955;1125;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20805;DACG;00410;Geología Económica Minera;A;20;04;1;B;0955;1125;18-08-2025;19-12-2025;;;;Y;;;;;;;
